model,n_xi,n_hd,Hf_MAE,Hf_RMSE,Hd_MAE,Hd_RMSE,rms_xi,median_xi,F1,Precision,Recall,TP,FP,FN,TN
ElFrac,82882,85014,0.2314,0.328,0.1801,0.2862,0.7471,0.4759,0.5404,0.4248,0.7426,25248,34190,8750,16826
Meredig,82882,85014,0.169,0.2498,0.1795,0.2815,0.9212,0.6823,0.5546,0.4284,0.7863,26734,35674,7264,15342
Magpie,82882,85014,0.133,0.2071,0.1558,0.2483,0.9869,0.7948,0.5576,0.4383,0.7664,26057,33399,7941,17617
AutoMat,82882,85014,0.1243,0.1997,0.1482,0.2328,1.0026,0.8784,0.5587,0.4652,0.6992,23770,27325,10228,23691
ElemNet,82882,85014,0.0971,0.1823,0.1176,0.21,1.0331,0.9012,0.5842,0.4612,0.7965,27079,31631,6919,19385
Roost,82882,85014,0.0563,0.1419,0.0806,0.1661,1.0997,1.0396,0.6791,0.5627,0.856,29102,22613,4896,28403
CGCNN,82882,85014,0.034,0.062,0.0426,0.0719,1.0184,0.9247,0.7453,0.6869,0.8145,27691,12622,6307,38394
